$OR;D2
* From-Time  To-Time
17_6 6_0 2
17_6 6_14 0
17_6 6_5 1
17_6 7_2 0
17_6 8_4 0
17_6 8_9 1
17_6 9_11 0
17_6 9_7 0
20_10 12_5 9
20_10 13_16 1
20_10 14_7 0
20_10 15_14 0
20_10 16_10 0
20_10 16_11 0
20_10 17_12 0
20_10 17_6 1
20_10 20_10 0
20_10 21_10 0
20_10 22_11 21
20_10 3_12 0
20_10 4_3 0
20_10 4_7 2
20_10 5_11 0
20_10 5_3 0
20_10 6_0 1
20_10 6_14 2
20_10 6_5 7
20_10 7_2 0
20_10 8_4 1
20_10 8_9 1
20_10 9_11 1
20_10 9_7 0
21_10 12_5 0
21_10 13_16 0
21_10 14_7 1
21_10 15_14 2
21_10 16_10 0
21_10 16_11 9
21_10 17_12 2
21_10 17_6 0
21_10 20_10 1
21_10 21_10 0
21_10 22_11 3
21_10 3_12 3
21_10 4_3 0
21_10 4_7 0
21_10 5_11 0
21_10 5_3 1
21_10 6_0 3
21_10 6_14 4
21_10 6_5 1
21_10 7_2 0
21_10 8_4 0
21_10 8_9 1
21_10 9_11 0
21_10 9_7 0
22_11 12_5 1
22_11 13_16 0
22_11 14_7 0
22_11 15_14 0
22_11 16_10 0
22_11 16_11 0
22_11 17_12 3
22_11 17_6 2
22_11 20_10 1
22_11 21_10 0
22_11 22_11 0
22_11 3_12 0
22_11 4_3 6
22_11 4_7 1
22_11 5_11 1
22_11 5_3 1
22_11 6_0 3
22_11 6_14 0
22_11 6_5 3
22_11 7_2 0
22_11 8_4 0
22_11 8_9 0
22_11 9_11 1
22_11 9_7 1
3_12 12_5 0
3_12 13_16 0
3_12 14_7 0
3_12 15_14 1
3_12 16_10 0
3_12 16_11 0
3_12 17_12 1
3_12 17_6 0
3_12 20_10 0
3_12 21_10 0
3_12 22_11 0
3_12 3_12 0
3_12 4_3 1
3_12 4_7 0
3_12 5_11 5
3_12 5_3 1
3_12 6_0 1
3_12 6_14 0
3_12 6_5 2
3_12 7_2 4
3_12 8_4 0
3_12 8_9 6
3_12 9_11 6
3_12 9_7 0
4_3 12_5 0
4_3 13_16 0
4_3 14_7 0
4_3 15_14 0
4_3 16_10 0
4_3 16_11 0
4_3 17_12 0
4_3 17_6 2
4_3 20_10 2
4_3 21_10 0
4_3 22_11 0
4_3 3_12 9
4_3 4_3 0
4_3 4_7 0
4_3 5_11 7
4_3 5_3 0
4_3 6_0 0
4_3 6_14 0
4_3 6_5 4
4_3 7_2 1
4_3 8_4 6
4_3 8_9 1
4_3 9_11 0
4_3 9_7 1
4_7 12_5 0
4_7 13_16 1
4_7 14_7 0
4_7 15_14 0
4_7 16_10 3
4_7 16_11 3
4_7 17_12 0
4_7 17_6 6
4_7 20_10 10
4_7 21_10 2
4_7 22_11 1
4_7 3_12 3
4_7 4_3 0
4_7 4_7 0
4_7 5_11 0
4_7 5_3 1
4_7 6_0 6
4_7 6_14 0
4_7 6_5 0
4_7 7_2 8
4_7 8_4 0
4_7 8_9 0
4_7 9_11 1
4_7 9_7 1
5_11 12_5 0
5_11 13_16 4
5_11 14_7 0
5_11 15_14 1
5_11 16_10 1
5_11 16_11 4
5_11 17_12 18
5_11 17_6 0
5_11 20_10 0
5_11 21_10 0
5_11 22_11 0
5_11 3_12 2
5_11 4_3 7
5_11 4_7 0
5_11 5_11 0
5_11 5_3 0
5_11 6_0 0
5_11 6_14 0
5_11 6_5 0
5_11 7_2 0
5_11 8_4 0
5_11 8_9 0
5_11 9_11 2
5_11 9_7 0
5_3 12_5 0
5_3 13_16 0
5_3 14_7 3
5_3 15_14 1
5_3 16_10 5
5_3 16_11 13
5_3 17_12 0
5_3 17_6 5
5_3 20_10 2
5_3 21_10 3
5_3 22_11 0
5_3 3_12 0
5_3 4_3 2
5_3 4_7 0
5_3 5_11 0
5_3 5_3 0
5_3 6_0 0
5_3 6_14 7
5_3 6_5 0
5_3 7_2 2
5_3 8_4 0
5_3 8_9 1
5_3 9_11 9
5_3 9_7 1
6_0 12_5 1
6_0 13_16 1
6_0 14_7 1
6_0 15_14 14
6_0 16_10 3
6_0 16_11 1
6_0 17_12 10
6_0 17_6 4
6_0 20_10 2
6_0 21_10 0
6_0 22_11 3
6_0 3_12 0
6_0 4_3 1
6_0 4_7 1
6_0 5_11 2
6_0 5_3 4
6_0 6_0 0
6_0 6_14 0
6_0 6_5 0
6_0 7_2 0
6_0 8_4 0
6_0 8_9 0
6_0 9_11 0
6_0 9_7 2
6_14 12_5 0
6_14 13_16 0
6_14 14_7 0
6_14 15_14 1
6_14 16_10 2
6_14 16_11 1
6_14 17_12 1
6_14 17_6 0
6_14 20_10 0
6_14 21_10 2
6_14 22_11 1
6_14 3_12 1
6_14 4_3 0
6_14 4_7 1
6_14 5_11 1
6_14 5_3 0
6_14 6_0 3
6_14 6_14 0
6_14 6_5 0
6_14 7_2 4
6_14 8_4 0
6_14 8_9 1
6_14 9_11 2
6_14 9_7 1
6_5 12_5 1
6_5 13_16 1
6_5 14_7 1
6_5 15_14 0
6_5 16_10 0
6_5 16_11 2
6_5 17_12 3
6_5 17_6 0
6_5 20_10 0
6_5 21_10 3
6_5 22_11 0
6_5 3_12 5
6_5 4_3 0
6_5 4_7 1
6_5 5_11 0
6_5 5_3 0
6_5 6_0 0
6_5 6_14 0
6_5 6_5 0
6_5 7_2 0
6_5 8_4 13
6_5 8_9 14
6_5 9_11 6
6_5 9_7 0
7_2 12_5 0
7_2 13_16 1
7_2 14_7 0
7_2 15_14 0
7_2 16_10 2
7_2 16_11 2
7_2 17_12 0
7_2 17_6 2
7_2 20_10 0
7_2 21_10 2
7_2 22_11 0
7_2 3_12 0
7_2 4_3 2
7_2 4_7 0
7_2 5_11 9
7_2 5_3 1
7_2 6_0 1
7_2 6_14 11
7_2 6_5 1
7_2 7_2 0
7_2 8_4 0
7_2 8_9 0
7_2 9_11 2
7_2 9_7 0
8_4 12_5 0
8_4 13_16 25
8_4 14_7 1
8_4 15_14 4
8_4 16_10 0
8_4 16_11 1
8_4 17_12 1
8_4 17_6 0
8_4 20_10 1
8_4 21_10 0
8_4 22_11 1
8_4 3_12 0
8_4 4_3 0
8_4 4_7 0
8_4 5_11 2
8_4 5_3 0
8_4 6_0 2
8_4 6_14 0
8_4 6_5 0
8_4 7_2 2
8_4 8_4 0
8_4 8_9 2
8_4 9_11 1
8_4 9_7 0
8_9 12_5 1
8_9 13_16 0
8_9 14_7 1
8_9 15_14 1
8_9 16_10 0
8_9 16_11 0
8_9 17_12 0
8_9 17_6 0
8_9 20_10 1
8_9 21_10 3
8_9 22_11 1
8_9 3_12 2
8_9 4_3 16
8_9 4_7 0
8_9 5_11 0
8_9 5_3 5
8_9 6_0 4
8_9 6_14 0
8_9 6_5 1
8_9 7_2 1
8_9 8_4 1
8_9 8_9 0
8_9 9_11 0
8_9 9_7 3
9_11 12_5 4
9_11 13_16 1
9_11 14_7 5
9_11 15_14 0
9_11 16_10 1
9_11 16_11 1
9_11 17_12 0
9_11 17_6 1
9_11 20_10 4
9_11 21_10 0
9_11 22_11 0
9_11 3_12 0
9_11 4_3 0
9_11 4_7 1
9_11 5_11 1
9_11 5_3 0
9_11 6_0 0
9_11 6_14 1
9_11 6_5 0
9_11 7_2 0
9_11 8_4 1
9_11 8_9 0
9_11 9_11 0
9_11 9_7 6
9_7 12_5 7
9_7 13_16 1
9_7 14_7 0
9_7 15_14 1
9_7 16_10 2
9_7 16_11 6
9_7 17_12 0
9_7 17_6 0
9_7 20_10 1
9_7 21_10 0
9_7 22_11 1
9_7 3_12 2
9_7 4_3 2
9_7 4_7 4
9_7 5_11 3
9_7 5_3 0
9_7 6_0 1
9_7 6_14 0
9_7 6_5 1
9_7 7_2 0
9_7 8_4 3
9_7 8_9 7
9_7 9_11 0
9_7 9_7 0
